time,liquidity_type,liquidity_strength,sweep_direction,sweep_size,bos_strength,fvg_rejected,retracement_depth,time_since_sweep,ny_session,london_session,asian_session,suggested_tp,suggested_sl,max_favorable_excursion,max_adverse_excursion,time_to_target,label
1752105360000,2,0.9897917,1,0.00013024366418841915,1.0,1.0,0.0625,7,0,0,1,23060.5,23030.0,0.03333333333333333,1.8,4,0
1752107460000,2,0.9875,1,0.00010861419153026535,0.0,1.0,0.5670103,1,0,0,1,23060.5,23010.75,0.023809523809523808,1.0714285714285714,5,0
1752108360000,2,0.98,1,6.520038250891072e-05,0.0,1.0,0.13333334,5,0,0,1,23060.5,23004.5,0.23076923076923078,1.1025641025641026,10,0
1752111240000,2,0.97583336,1,0.00018477055844184074,1.0,0.0,0.22807017,16,0,0,1,23060.5,22997.25,0.4318181818181818,1.4090909090909092,20,0
1752148020000,2,1.3183334,-1,9.753665752712061e-05,0.0,1.0,0.71428573,1,0,1,0,23012.0,23074.5,0.85,1.2,2,0
1752148440000,3,0.85229164,-1,3.250165216731851e-05,0.0,1.0,0.22222222,2,0,1,0,23012.0,23076.5,6.904761904761905,1.2857142857142858,94,0
1752156480000,2,0.965,1,0.0005891466102249667,0.0,1.0,0.78557503,2,1,1,0,23111.25,22901.0,4.418181818181818,1.290909090909091,557,0
1752169380000,2,0.99333334,-1,0.00010855641676979527,0.0,1.0,0.6760563,1,1,0,0,22978.0,23032.0,1.608695652173913,1.3043478260869565,9,0
1752170460000,2,0.9891667,-1,0.0001410728044188343,1.0,0.0,0.15686275,3,1,0,0,22978.0,23041.0,0.09302325581395349,1.372093023255814,6,0
1752195360000,3,1.2964584,1,0.0016398281460102981,1.0,1.0,0.50392467,29,0,0,1,23089.75,22830.75,1.4177215189873418,1.360759493670886,1204,0
1752211680000,2,0.9945833,-1,0.00021764680276846734,0.0,1.0,0.08108108,2,0,0,1,22962.75,22978.0,1.5588235294117647,0.35294117647058826,22,1
1752213900000,3,1.4270834,1,0.00021793614470960008,1.0,0.0,0.23893805,7,0,0,1,22975.0,22937.5,0.5,1.1395348837209303,63,0
1752217740000,3,1.410625,1,4.3591028966238747e-05,0.0,1.0,0.5483871,0,0,1,0,22975.0,22937.0,1.0714285714285714,1.4285714285714286,1,0
1752218100000,3,1.4104167,1,0.0001526967333805966,0.0,1.0,0.5377358,1,0,1,0,22975.0,22917.75,0.3877551020408163,1.1428571428571428,4,0
1752218460000,3,1.4085417,1,9.818467446325712e-05,0.0,1.0,0.8363636,0,0,1,0,22975.0,22913.75,2.111111111111111,1.3333333333333333,1,0
1752219180000,3,1.4079167,1,0.0002181715046197816,1.0,1.0,0.020833334,8,0,1,0,22975.0,22902.0,0.04964539007092199,1.1063829787234043,21,0
1752220560000,3,1.4010416,1,0.00013099149646868757,0.0,1.0,0.06944445,1,0,1,0,22975.0,22897.25,0.1044776119402985,1.2238805970149254,8,0
1752243000000,2,1.4245833,-1,0.00010883524520580745,0.0,1.0,0.5441176,3,1,1,0,22852.75,22973.0,0.16129032258064516,1.2580645161290323,3,0
1752243180000,2,1.4222916,-1,0.00022854157824284176,0.0,1.0,0.5714286,0,1,1,0,22852.75,22977.0,0.6190476190476191,1.5714285714285714,1,0
1752243240000,2,1.4220834,-1,5.43980851874014e-05,0.0,1.0,0.8913044,0,1,1,0,22852.75,22980.0,7.4,1.2,1,0
1752243900000,2,1.421875,-1,0.00013046881795250934,0.0,1.0,0.9375,1,1,1,0,22852.75,22997.5,1.5714285714285714,3.142857142857143,1,0
1752244500000,2,1.419375,-1,0.00014127824206396644,0.0,1.0,0.8773585,0,1,1,0,22852.75,23007.5,29.384615384615383,1.4615384615384615,67,0
1752249180000,2,1.36625,-1,0.0002173629526583489,1.0,0.0,0.017857144,10,1,1,0,22852.75,23010.0,0.24848484848484848,1.1454545454545455,70,0
1752444960000,3,1.8875,1,0.0018385370498046555,1.0,0.0,0.42745098,16,0,0,0,23021.75,22802.25,5.041095890410959,0.9246575342465754,1008,1
1752480000000,2,1.4639584,-1,9.83638807829765e-05,0.0,1.0,0.20408164,0,0,1,0,22852.75,22884.0,0.8717948717948718,1.358974358974359,51,0
